coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 7.09, 'feels_like': 3.68, 'temp_min': 6.6, 'temp_max': 7.53, 'pressure': 1015, 'humidity': 88, 'sea_level': 1015, 'grnd_level': 1000}",6000,"{'speed': 5.66, 'deg': 150}",{'all': 75},1739884305,"{'type': 2, 'id': 2046043, 'country': 'IE', 'sunrise': 1739864224, 'sunset': 1739900472}",0,2964574,Dublin,200
coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 7.17, 'feels_like': 2.93, 'temp_min': 6.6, 'temp_max': 7.92, 'pressure': 1014, 'humidity': 84, 'sea_level': 1014, 'grnd_level': 999}",6000,"{'speed': 8.23, 'deg': 150}",{'all': 75},1739887905,"{'type': 2, 'id': 2091862, 'country': 'IE', 'sunrise': 1739864224, 'sunset': 1739900472}",0,2964574,Dublin,200
