number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740975963000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740976569000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740977174000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740977779000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740978001000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740978386000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740978991000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740979597000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,12,18,OPEN,1740979835000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,12,18,OPEN,1740980202000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740980917000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,29,1,OPEN,1740981188000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,29,1,OPEN,1740981490000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,30,0,OPEN,1740981667000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,30,0,OPEN,1740982040000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,30,0,OPEN,1740982645000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,29,1,OPEN,1740983251000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,29,1,OPEN,1740983856000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,29,1,OPEN,1740984462000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,28,2,OPEN,1740984728000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,24,6,OPEN,1740985070000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,23,7,OPEN,1740985372000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,23,7,OPEN,1740985677000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740986286000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740986509000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740986892000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740987497000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740988103000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,26,4,OPEN,1740988200000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,26,4,OPEN,1740988710000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,26,4,OPEN,1740988926000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,26,4,OPEN,1740989318000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740989894000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,25,5,OPEN,1740989926000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,24,6,OPEN,1740990221000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,23,7,OPEN,1740990653000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,24,6,OPEN,1740991403000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,22,8,OPEN,1740991697000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,22,8,OPEN,1740991746000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,21,9,OPEN,1740992202000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,21,9,OPEN,1740992353000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,21,9,OPEN,1740992958000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,21,9,OPEN,1740993564000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,20,10,OPEN,1740994218000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,19,11,OPEN,1740994711000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,18,12,OPEN,1740994907000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,17,13,OPEN,1740995160000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,15,15,OPEN,1740995517000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,14,16,OPEN,1740995726000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,14,16,OPEN,1740995994000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,12,18,OPEN,1740996752000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,13,17,OPEN,1740997259000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,11,19,OPEN,1740998013000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,11,19,OPEN,1740998261000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,11,19,OPEN,1740998420000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,20,OPEN,1740999026000
